Objeto;Ângulo (°);Distancia (m);Altura (m);Tempo (s);Velocidade Média (m/s)
aro;3.992;1.0;0.069617187;2.16;0.4629629629629629
aro;3.992;0.9;0.062655468;2.22;0.4054054054054054
aro;3.992;0.9;0.062655468;2.1;0.42857142857142855
aro;3.992;0.9;0.062655468;2.2;0.40909090909090906
aro;3.992;0.9;0.062655468;2.2;0.40909090909090906
aro;3.992;0.9;0.062655468;2.19;0.4109589041095891
aro;3.992;0.9;0.062655468;1.86;0.48387096774193544
aro;3.992;0.9;0.062655468;1.96;0.45918367346938777
aro;3.992;0.9;0.062655468;1.79;0.5027932960893855
aro;3.992;0.9;0.062655468;1.95;0.46153846153846156
aro;3.992;0.9;0.062655468;2.08;0.4326923076923077
aro;3.992;0.8;0.055693749;2.05;0.39024390243902446
aro;3.992;0.8;0.055693749;2.03;0.394088669950739
aro;3.992;0.8;0.055693749;2.14;0.37383177570093457
aro;3.992;0.8;0.055693749;1.82;0.43956043956043955
aro;3.992;0.8;0.055693749;1.97;0.4060913705583757
aro;3.992;0.8;0.055693749;1.97;0.4060913705583757
aro;3.992;0.8;0.055693749;2.15;0.372093023255814
aro;3.992;0.8;0.055693749;1.92;0.4166666666666667
aro;3.992;0.8;0.055693749;2.11;0.37914691943127965
aro;3.992;0.8;0.055693749;2.14;0.37383177570093457
aro;3.992;0.7;0.048732031;1.87;0.374331550802139
aro;3.992;0.7;0.048732031;1.8;0.38888888888888884
aro;3.992;0.7;0.048732031;1.71;0.4093567251461988
aro;3.992;0.7;0.048732031;1.78;0.3932584269662921
aro;3.992;0.7;0.048732031;1.73;0.40462427745664736
aro;3.992;0.7;0.048732031;1.8;0.38888888888888884
aro;3.992;0.7;0.048732031;2.08;0.3365384615384615
aro;3.992;0.7;0.048732031;1.87;0.374331550802139
aro;3.992;0.7;0.048732031;2.01;0.3482587064676617
aro;3.992;0.7;0.048732031;2.02;0.3465346534653465
aro;3.992;0.6;0.041770312;1.74;0.3448275862068965
aro;3.992;0.6;0.041770312;1.86;0.3225806451612903
aro;3.992;0.6;0.041770312;1.76;0.3409090909090909
aro;3.992;0.6;0.041770312;1.83;0.32786885245901637
aro;3.992;0.6;0.041770312;1.79;0.33519553072625696
aro;3.992;0.6;0.041770312;1.82;0.32967032967032966
aro;3.992;0.6;0.041770312;1.78;0.33707865168539325
aro;3.992;0.6;0.041770312;1.87;0.320855614973262
aro;3.992;0.6;0.041770312;1.79;0.33519553072625696
aro;3.992;0.6;0.041770312;1.89;0.31746031746031744
aro;3.992;0.5;0.034808593;1.8;0.2777777777777778
aro;3.992;0.5;0.034808593;1.4;0.35714285714285715
aro;3.992;0.5;0.034808593;1.79;0.27932960893854747
aro;3.992;0.5;0.034808593;1.66;0.30120481927710846
aro;3.992;0.5;0.034808593;1.7;0.29411764705882354
aro;3.992;0.5;0.034808593;1.63;0.3067484662576687
aro;3.992;0.5;0.034808593;1.57;0.3184713375796178
aro;3.992;0.5;0.034808593;1.79;0.27932960893854747
aro;3.992;0.5;0.034808593;1.62;0.30864197530864196
aro;3.992;0.5;0.034808593;1.6;0.3125
aro;3.992;0.4;0.027846875;1.5;0.26666666666666666
aro;3.992;0.4;0.027846875;1.55;0.25806451612903225
aro;3.992;0.4;0.027846875;1.58;0.25316455696202533
aro;3.992;0.4;0.027846875;1.69;0.2366863905325444
aro;3.992;0.4;0.027846875;1.71;0.23391812865497078
aro;3.992;0.4;0.027846875;1.57;0.25477707006369427
aro;3.992;0.4;0.027846875;1.57;0.25477707006369427
aro;3.992;0.4;0.027846875;1.65;0.24242424242424246
aro;3.992;0.4;0.027846875;1.48;0.2702702702702703
aro;3.992;0.4;0.027846875;1.61;0.2484472049689441
aro;3.992;0.3;0.020885156;1.15;0.2608695652173913
aro;3.992;0.3;0.020885156;1.17;0.25641025641025644
aro;3.992;0.3;0.020885156;1.26;0.23809523809523808
aro;3.992;0.3;0.020885156;1.35;0.2222222222222222
aro;3.992;0.3;0.020885156;1.39;0.21582733812949642
aro;3.992;0.3;0.020885156;1.3;0.23076923076923075
aro;3.992;0.3;0.020885156;1.31;0.22900763358778625
aro;3.992;0.3;0.020885156;1.17;0.25641025641025644
aro;3.992;0.3;0.020885156;1.26;0.23809523809523808
aro;3.992;0.3;0.020885156;1.28;0.234375
esfera;5.0;0.4;0.0348622970990632;1.05225;0.3801377999524828
esfera;5.0;0.4;0.0348622970990632;1.0442;0.38306837770542046
esfera;5.0;0.4;0.0348622970990632;1.03;0.3883495145631068
esfera;5.0;0.4;0.0348622970990632;1.02805;0.38908613394290165
esfera;5.0;0.4;0.0348622970990632;1.0556;0.378931413414172
esfera;5.0;0.4;0.0348622970990632;1.03915;0.38492999085791274
esfera;5.0;0.4;0.0348622970990632;1.0531;0.37983097521602893
esfera;5.0;0.4;0.0348622970990632;1.0549;0.3791828609346858
esfera;5.0;0.4;0.0348622970990632;1.05495;0.3791648893312479
esfera;5.0;0.4;0.0348622970990632;1.0501;0.38091610322826397
esfera;5.0;0.3;0.0261467228242974;0.8718;0.3441156228492773
esfera;5.0;0.3;0.0261467228242974;0.85655;0.350242250890199
esfera;5.0;0.3;0.0261467228242974;0.87525;0.3427592116538132
esfera;5.0;0.3;0.0261467228242974;0.86035;0.3486952984250596
esfera;5.0;0.3;0.0261467228242974;0.871;0.3444316877152698
esfera;5.0;0.3;0.0261467228242974;0.8798;0.34098658786087743
esfera;5.0;0.3;0.0261467228242974;0.85805;0.34962997494318515
esfera;5.0;0.3;0.0261467228242974;0.86795;0.3456420300708566
esfera;5.0;0.3;0.0261467228242974;0.8681;0.3455823061859233
esfera;5.0;0.3;0.0261467228242974;0.86595;0.3464403256539061
esfera;5.0;0.2;0.0174311485495316;0.68825;0.2905920813657828
esfera;5.0;0.2;0.0174311485495316;0.68625;0.29143897996357016
esfera;5.0;0.2;0.0174311485495316;0.69835;0.286389346316317
esfera;5.0;0.2;0.0174311485495316;0.67475;0.29640607632456467
esfera;5.0;0.2;0.0174311485495316;0.688;0.29069767441860467
esfera;5.0;0.2;0.0174311485495316;0.69975;0.28581636298678104
esfera;5.0;0.2;0.0174311485495316;0.69225;0.288912964969303
esfera;5.0;0.2;0.0174311485495316;0.6948;0.2878526194588371
esfera;5.0;0.2;0.0174311485495316;0.70015;0.28565307434121257
esfera;5.0;0.2;0.0174311485495316;0.69225;0.288912964969303
esfera;5.0;0.1;0.0087155742747658;0.4767;0.20977554017201594
esfera;5.0;0.1;0.0087155742747658;0.4698;0.21285653469561516
esfera;5.0;0.1;0.0087155742747658;0.4809;0.20794343938448742
